"","Game","Referee","Country","Confederation","Teams","Ball in Play (Seconds)","Game Total (Seconds)","Ball not in Play (Seconds)","Dwell (as % of Exact Game Time)","Temperature","Humidity","Fouls","Goals Scored"
"1",1,"Nestor Pitana","Argentina","CONMEBOL","Russia v Saudi Arabia",3418,5808,2390,41.15,17,43,32,5
"2",2,"Bjorn Kuipers","Netherlands","UEFA","Egypt v Uruguay",3855,5841,1986,34,14,42,18,1
"3",3,"Cuneyt Cakir","Turkey","UEFA","Morocco v Iran",2757,5887,3130,53.17,25,37,36,1
"4",4,"Gianluca Rocchi","Italy","UEFA","Portugal v Spain",3528,5758,2230,38.73,24,74,22,6
"5",5,"Andres Cunha","Uruguay","CONMEBOL","France v Ausralia",3381,5796,2415,41.67,19,32,35,3
"6",6,"Szymon Marciniak","Poland","UEFA","Argentina v Iceland",3768,5771,2003,34.71,22,33,25,2
"7",7,"Bakary Gassama","Gambia","CAF","Peru v Denmark",3203,5890,2687,45.62,18,48,28,1
"8",8,"Sando Ricci","Brazil","CONMEBOL","Croatia v Nigeria",3314,5764,2450,42.51,20,64,36,2
"9",9,"Cesar Ramos","Mexico","CONCACAF","Brazil v Switzerland",3745,5937,2192,36.92,25,27,31,2
"10",10,"Malang Diedhiou","Senegal","CAF","Costa Rica v Serbia",3515,5982,2467,41.24,22,32,33,1
"11",11,"Alireza Faghani","Iran","AFC","Germany v Mexico",3395,5653,2258,39.94,23,42,25,1
"12",12,"Joel Aguilar","Salvador","CONCACAF","Sweden v Korea",3203,5786,2583,44.64,25,36,43,1
"13",13,"Janny Sikazwe","Zambia","CAF","Belgium v Panama",3307,5775,2468,42.74,24,71,35,3
"14",14,"Wilmar Roldan","Columbia","CONMEBOL","Tunisia v England",2989,5837,2848,48.79,24,17,22,3
"15",15,"Nawaf Shukralla","Bahrain","AFC","Poland v Senegal",3306,5796,2490,42.96,27,40,23,3
"16",16,"Damir Skomina","Slovenia","UEFA","Colombia v Japan",3542,5760,2218,38.51,27,38,24,3
"17",17,"Enrique Caceres","Paraguay","CONMEBOL","Russia v Egypt",3216,5654,2438,43.12,15,83,21,4
"18",18,"Clement Turpin","France","UEFA","Uruguay v Saudi Arabia",3653,5767,2114,36.66,32,26,23,1
"19",19,"Mark Geiger","USA","CONCACAF","Portugal v Morocco",3190,5888,2698,45.82,20,33,42,1
"20",20,"Andres Cunha","Uruguay","CONMEBOL","Iran v Spain",3187,5837,2650,45.4,18,48,28,1
"21",21,"Mohammed Abdulla","UAE","AFC","France v Peru",3452,5793,2341,40.41,12,79,26,1
"22",22,"Mateu Lahoz","Spain","UEFA","Denmark v Australia",3717,5717,2000,34.98,24,32,12,2
"23",23,"Ravshan Irmatov","Uzbekistan","AFC","Argentina v Croatia",3179,5775,2596,44.95,17,49,38,3
"24",24,"Matthew Conger","New Zealand","OFC","Nigeria v Iceland",3203,5917,2714,45.87,32,19,19,2
"25",25,"Bjorn Kuipers","Netherlands","UEFA","Brazil v Costa Rica",3840,5940,2100,35.35,19,70,21,2
"26",26,"Felix Brych","Germany","UEFA","Serbia v Switzerland",3396,5879,2483,42.24,15,55,29,3
"27",27,"Szymon Marciniak","Poland","UEFA","Germany v Sweden",3611,5951,2340,39.32,22,80,25,3
"28",28,"Milorad Mazic","Serbia","UEFA","Korea v Mexico",3165,5811,2646,45.53,33,28,31,3
"29",29,"Jair Marrufo","USA","CONCACAF","Belgium v Tunisia",3386,5842,2456,42.04,28,64,25,7
"30",30,"Ghead Grisha","Egypt","CAF","England v Panama",3283,5854,2571,43.92,30,33,27,7
"31",31,"Cesar Ramos","Mexico","CONCACAF","Poland v Colombia",3461,5953,2492,41.86,26,58,25,3
"32",32,"Gianluca Rocchi","Italy","UEFA","Japan v Senegal",3117,5702,2585,45.33,25,38,22,4
"33",33,"Malang Diedhiou","Senegal","CAF","Uruguay v Russia",3046,5812,2766,47.59,32,34,35,3
"34",34,"Wilmar Roldan","Columbia","CONMEBOL","Saudi Arabia v Egypt",3689,6134,2445,39.86,35,24,23,3
"35",35,"Enrique Caceres","Paraguay","CONMEBOL","Iran v Portugal",3024,6021,2997,49.78,23,70,27,2
"36",36,"Ravshan Irmatov","Uzbekistan","AFC","Spain v Morocco",3477,5940,2463,41.46,15,70,22,4
"37",37,"Sando Ricci","Brazil","CONMEBOL","Denmark v France",3673,5742,2069,36.03,24,34,20,0
"38",38,"Sergei Karasev","Russia","UEFA","Australia v Peru",3380,5709,2329,40.8,30,70,25,2
"39",39,"Cuneyt Cakir","Turkey","UEFA","Nigeria v Argentina",3152,5798,2646,45.64,22,45,35,3
"40",40,"Antonio Lahoz","Spain","UEFA","Iceland v Croatia",3061,5779,2718,47.03,30,38,22,3
"41",41,"Alireza Faghani","Iran","AFC","Serbia v Brazil",3896,5704,1808,31.7,24,42,20,2
"42",42,"Clement Turpin","France","UEFA","Switzerland v Costa Rica",3545,5791,2246,38.78,20,42,23,4
"43",43,"Mark Geiger","USA","CONCACAF","Korea v Germany",3745,6146,2401,39.07,28,40,23,2
"44",44,"Nestor Pitana","Argentina","CONMEBOL","Mexico v Sweden",3035,5783,2748,47.52,27,42,25,3
"45",45,"Damir Skomina","Slovenia","UEFA","Engalnd v Belgium",3646,5598,1952,34.87,21,61,25,1
"46",46,"Nawaf Shukralla","Bahrain","AFC","Panama v Tunisia",3248,5979,2731,45.68,20,60,37,3
"47",47,"Janny Sikazwe","Zambia","CAF","Japan v Poland",3570,5644,2074,36.75,36,24,19,1
"48",48,"Milorad Mazic","Serbia","UEFA","Senegal v Colombia",3010,5828,2818,48.35,27,34,30,1
"49",49,"Alireza Faghani","Iran","AFC","France v Argentina",3291,5819,2528,43.44,28,33,36,7
"50",50,"Cesar Ramos","Mexico","CONCACAF","Uruguay v Portugal",3440,5887,2447,41.57,27,74,26,3
"51",51,"Bjorn Kuipers","Netherlands","UEFA","Spain v Russia",4906,7704,2798,36.32,24,63,24,2
"52",52,"Nestor Pitana","Argentina","CONMEBOL","Croatia v Denmark",4524,7660,3136,40.94,25,48,24,2
"53",53,"Gianluca Rocchi","Italy","UEFA","Brazil v Mexico",3494,5768,2274,39.42,33,28,24,2
"54",54,"Malang Diedhiou","Senegal","CAF","Belgium v Japan",3714,5778,2064,35.72,25,36,22,5
"55",55,"Damir Skomina","Slovenia","UEFA","Sweden v Switzerland",3321,5851,2530,43.24,18,60,24,1
"56",56,"Mark Geiger","USA","CONCACAF","Colombia v England",4166,8010,3844,47.99,18,61,36,2
"57",57,"Nestor Pitana","Argentina","CONMEBOL","Uruguay v France",3175,5830,2655,45.54,22,53,32,2
"58",58,"Milorad Mazic","Serbia","UEFA","Brazil v Belgium",3689,5772,2083,36.09,20,60,30,3
"59",59,"Bjorn Kuipers","Netherlands","UEFA","Sweden v England",3445,5781,2336,40.41,26,39,17,2
"60",60,"Sando Ricci","Brazil","CONMEBOL","Russia v Croatia",4479,7860,3381,43.02,24,70,43,4
"61",61,"Andres Cunha","Uruguay","CONMEBOL","France v Belgium",3616,5836,2220,38.04,18,75,22,1
"62",62,"Cuneyt Cakir","Turkey","UEFA","Croatia v England",4213,7939,3726,46.93,21,64,37,3
"63",63,"Alireza Faghani","Iran","AFC","Belgium v England",4126,5709,1583,27.73,26,45,16,2
"64",64,"Nestor Pitana","Argentina","CONMEBOL","France v Croatia",3212,5909,2697,45.64,27,51,27,6
